endTime;valence;danceability
21/09/2021 19:08;0.646;0.702
28/05/2022 0:28;0.591;0.632
02/06/2022 1:06;0.77;0.489
02/06/2022 1:07;0.669;0.505
02/06/2022 1:07;0.0509;0.329
02/06/2022 1:07;0.0509;0.329
02/06/2022 1:07;0.228;0.197
02/06/2022 1:07;0.0682;0.39
02/06/2022 1:07;0.43;0.284
02/06/2022 1:07;0.0397;0.141
02/06/2022 1:07;0.245;0.546
02/06/2022 1:07;0.245;0.546
02/06/2022 1:07;0.13;0.314
02/06/2022 1:07;0.64;0.556
02/06/2022 1:07;0.139;0.185
02/06/2022 1:11;0.888;0.636
02/06/2022 1:12;0.714;0.774
02/06/2022 1:16;0.888;0.636
02/06/2022 1:18;0.82;0.743
02/06/2022 1:24;0.82;0.743
02/06/2022 1:24;0.82;0.743
02/06/2022 1:27;0.776;0.651
02/06/2022 1:32;0.954;0.727
02/06/2022 1:34;0.478;0.388
02/06/2022 1:37;0.653;0.445
02/06/2022 1:38;0.622;0.589
03/06/2022 1:48;0.756;0.746
03/06/2022 1:51;0.433;0.635
03/06/2022 1:55;0.524;0.631
03/06/2022 2:01;0.504;0.705
03/06/2022 2:02;0.72;0.392
03/06/2022 2:06;0.472;0.289
03/06/2022 2:06;0.101;0.49
03/06/2022 2:06;0.965;0.74
03/06/2022 2:06;0.245;0.427
03/06/2022 2:09;0.827;0.749
03/06/2022 2:09;0.794;0.55
03/06/2022 2:09;0.794;0.55
03/06/2022 2:09;0.589;0.588
03/06/2022 2:09;0.714;0.527
03/06/2022 2:11;0.827;0.749
03/06/2022 2:12;0.151;0.383
03/06/2022 2:12;0.653;0.445
03/06/2022 2:12;0.703;0.459
03/06/2022 2:14;0.653;0.445
03/06/2022 2:14;0.703;0.459
03/06/2022 2:18;0.868;0.701
03/06/2022 2:23;0.789;0.701
03/06/2022 2:27;0.493;0.699
03/06/2022 2:31;0.964;0.719
03/06/2022 2:31;0.509;0.551
03/06/2022 2:33;0.433;0.635
03/06/2022 2:36;0.333;0.684
03/06/2022 2:37;0.0724;0.564
03/06/2022 2:40;0.945;0.706
03/06/2022 2:47;0.586;0.738
03/06/2022 2:49;0.272;0.371
03/06/2022 2:51;0.37;0.409
03/06/2022 2:54;0.942;0.788
03/06/2022 17:19;0.507;0.553
03/06/2022 17:24;0.507;0.553
03/06/2022 17:28;0.267;0.342
03/06/2022 17:31;0.776;0.651
03/06/2022 17:35;0.547;0.595
03/06/2022 17:35;0.547;0.595
03/06/2022 17:39;0.317;0.479
03/06/2022 17:39;0.317;0.479
03/06/2022 17:40;0.317;0.479
03/06/2022 17:40;0.317;0.479
03/06/2022 17:42;0.337;0.628
03/06/2022 22:22;0.337;0.628
03/06/2022 22:25;0.337;0.628
03/06/2022 22:25;0.337;0.628
03/06/2022 22:28;0.71;0.678
03/06/2022 22:28;0.724;0.477
03/06/2022 22:28;0.53;0.709
03/06/2022 22:28;0.337;0.628
03/06/2022 22:28;0.337;0.628
03/06/2022 22:29;0.83;0.584
03/06/2022 22:29;0.366;0.588
03/06/2022 22:29;0.407;0.67
03/06/2022 22:29;0.52;0.454
